DATE,DEXBZUS
2013-05-09,2.0010
2013-05-10,2.0275
2013-05-13,2.0163
2013-05-14,2.0054
2013-05-15,2.0280
2013-05-16,2.0244
2013-05-17,2.0364
2013-05-20,2.0357
2013-05-21,2.0373
2013-05-22,2.0398
2013-05-23,2.0526
2013-05-24,2.0516
2013-05-27,.
2013-05-28,2.0679
2013-05-29,2.0973
2013-05-30,2.1095
2013-05-31,2.1217
2013-06-03,2.1365
2013-06-04,2.1409
2013-06-05,2.1261
2013-06-06,2.1270
2013-06-07,2.1340
2013-06-10,2.1365
2013-06-11,2.1428
2013-06-12,2.1470
2013-06-13,2.1459
2013-06-14,2.1392
2013-06-17,2.1576
2013-06-18,2.1640
2013-06-19,2.1743
2013-06-20,2.2655
2013-06-21,2.2680
2013-06-24,2.2479
2013-06-25,2.2207
2013-06-26,2.1994
2013-06-27,2.1864
2013-06-28,2.2075
2013-07-01,2.2280
2013-07-02,2.2395
2013-07-03,2.2608
2013-07-04,.
2013-07-05,2.2635
2013-07-08,2.2605
2013-07-09,2.2620
2013-07-10,2.2732
2013-07-11,2.2670
2013-07-12,2.2677
2013-07-15,2.2450
2013-07-16,2.2439
2013-07-17,2.2315
2013-07-18,2.2282
2013-07-19,2.2345
2013-07-22,2.2317
2013-07-23,2.2212
2013-07-24,2.2388
2013-07-25,2.2586
2013-07-26,2.2525
2013-07-29,2.2605
2013-07-30,2.2730
2013-07-31,2.2987
2013-08-01,2.2980
2013-08-02,2.2875
2013-08-05,2.3016
2013-08-06,2.2924
2013-08-07,2.2985
2013-08-08,2.2748
2013-08-09,2.2710
2013-08-12,2.2730
2013-08-13,2.3063
2013-08-14,2.3130
2013-08-15,2.3417
2013-08-16,2.3585
2013-08-19,2.4021
2013-08-20,2.3959
2013-08-21,2.4226
2013-08-22,2.4464
2013-08-23,2.3679
2013-08-26,2.3858
2013-08-27,2.3925
2013-08-28,2.3298
2013-08-29,2.3572
2013-08-30,2.3809
2013-09-02,.
2013-09-03,2.3830
